15.255.*                Corvallis OR, USA
148.59.*                Ann Arbor MI, USA
148.61.*                Grand Rapids MI, USA
148.81.*                Warsaw, Poland
148.88.*                Lancaster, England
148.100.*               Poughkeepsie NY, USA
148.166.*               Fairfield CT, USA
148.197.*               Portsmouth, England
148.241.*               Monterrey, Mexico
149.84.*                Alfred NY, USA
149.96.*                Liverpool NY, USA
149.104.*               Washington DC, USA
149.132.*               Milan, Italy
149.137.*               Moraga CA, USA
149.144.*               Newcastle, Australia
149.149.*               Cookeville TN, USA
149.152.32.*            Willimantic CT, USA
149.152.40.*            New Haven CT, USA
149.152.50.*            Danbury CT, USA
149.155.*               Harpenden, England
149.156.*               Cracow, Poland
149.159.*               Bloomington IN, USA
149.162.*               Bloomington IN, USA
149.164.*               Fort Wayne IN, USA
149.171.*               Sydney, Australia
149.174.*		Boulder CO, USA
149.175.*               Portland OR, USA
149.205.*               Merseburg, Germany
150.108.*               Bronx NY, USA
150.131.*               Missoula MT, USA
150.140.*               Patra, Greece
150.203.*               Canberra, Australia
150.208.*               Harrison AR, USA
150.209.*               Clinton NY, USA
150.212.*               Pittsburgh PA, USA
150.243.*               Kirksville MO, USA
150.250.*               Glassboro NJ, USA
150.252.*               Abilene TX, USA
151.1.*                 Raleigh NC, USA
151.7.*                 Raleigh NC, USA
151.100.*               Roma, Italy
151.103.*               Troy NY, USA
151.141.*               Johntson City SD, USA
151.155.*               Orem UT, USA
151.159.*               Rapid City SD, USA
151.160.*               Jackson MS, USA
151.161.*               Lock Haven PA, USA
152.1.*                 Raleigh NC, USA
152.2.*                 Chapel Hill NC, USA
152.3.*                 Durham NC, USA
152.10.*                Boone NC, USA
152.13.*                Greensboro NC, USA
152.15.*                Charlotte NC, USA
152.17.*                Winston-Salem NC, USA
152.18.*                Asheville NC, USA
152.52.*                Raleigh, NC
152.66.*                Budapest, Hungary
152.78.*                Southampton, England
152.81.*                Vandoeuvre, France
152.94.*                Stavanger, Norway
152.103.*		Hong Kong, China
152.167.*		Greenville TX, USA
152.170.*		Kearny NJ, USA
152.170.29.*		Lexington KY, USA
152.171.164.*		Frankfurt, Germany
152.172.95.*		Houston TX, USA
152.172.233.*		Frankfurt, Germany
152.202.*		Erie PA, USA
153.1.*                 Tampere, Finland
153.34.167.*		Fort Wayne IN, USA
153.34.*		Lexington KY, USA
153.42.*                Grantham PA, USA
153.91.*                Kansas City MO, USA
153.106.*               Fenton MI, USA
155.31.*                Daytona Beach FL, USA
153.37.239.*            Durham NC, USA
155.43.*                Hartford CT, USA
155.68.*                Lancaster PA, USA
155.69.*                Singapore, Singapore
155.92.*                Milwaukee WI, USA
155.99.*                Salt Lake City UT, USA
155.138.*               Saginaw MI, USA
155.198.*               Lond. Knsngtn., England
155.207.*               Thessaloniki, Greece
155.210.*               Zaragoza, Spain
155.212.*               Warwick State RI, USA
155.225.*               Charleston SC, USA
155.229.*               Alpharetta GA, USA
155.245.*               Essex, England
155.247.*               Philadelphia PA, USA
156.24.*                Palo Alto CA, USA
156.26.*                Wichita KS, USA
156.34.*                Fredericton NB, Canada
156.35.41.*             Gijon, Spain
156.35.100.*            Gijon, Spain
156.35.*                Oviedo, Spain
156.143.*               Greenville SC, USA
156.151.*               Cupertino CA, USA
157.24.*                Lappeenranta, Finland
157.89.*                Richmond KY, USA
157.138.*               Venezia, Italy
157.140.*               London, England
157.151.*               Memphis TN, USA
157.181.*               Budapest, Hungary
157.242.*               Los Angeles CA, USA
157.252.*               Hartford CT, USA
158.36.33.*             Halden, Norway
158.36.36.*             Sarpsborg, Norway
158.36.*                <unknown>, Norway
158.38.25.*             Steinkjer, Norway
158.38.50.*             Trondheim, Norway
158.38.60.*             Trondheim, Norway
158.38.62.*             Trondheim, Norway
158.38.68.*             Molde, Norway
158.38.*                Trondheim, Norway
158.39.*                Alta, Norway
158.42.*                Valencia, Spain
158.75.*                Torun, Poland
158.83.*                California PA, USA
158.94.*                London, England
158.104.*               Salem OR, USA
158.121.*               North Reading MA, USA
158.125.*               Loughborough, England
158.135.*               Huntsville TX, USA
158.136.*               Plymouth NH, USA
158.142.*               Peublo CO, USA
158.152.*               Watford, England
158.195.*               Bratislava, Slovakia
158.227.*               Bilbao, Spain
158.234.*               London, England
159.91.*                Trenton NJ, USA
159.105.*               Montpelier VT, USA
159.148.*               Riga, Latvia
159.230.*               Farmville VA, USA
160.10.*                Carrollton CA, USA
160.45.*                Berlin, Germany
160.80.*                Rome, Italy
160.91.*                Knoxville TN, USA
160.102.*               Chadron NE, USA
160.114.*               Szeged, Hungary
160.190.*               Okayama, Japan
161.6.*		Bowling Green KY, USA
161.31.*                Conway AR, USA
161.52.*                Malm|, Sweden
161.53.*                Zagreb, Croatia
161.57.*                Big Rapids MI, USA
161.73.*                Oxford, England
161.133.*               University Centre MI, USA
162.48.*                Ann Arbor MI, USA
162.148.*               Seattle WA, USA
163.11.*                Cedarville OH, USA
163.120.*               Greencastle IN, USA
163.185.*               Houston TX, USA
164.8.*                 Maribor, Slovenia
164.11.*                Bristol, England
164.54.*                Argonne IL, USA
164.58.*                Oklahoma City OK, USA
164.67.*                Los Angeles CA, USA
164.76.*                Ypsilanti MI, USA
164.107.*               Columbus OH, USA
164.109.*               Greenbelt MD, USA
164.116.*               Bellingham WA, USA
164.138.181.*           Paris, France
165.82.*                Philly PA, USA
165.113.*               Larkspur CA, USA
165.122.*               Tulsa OK, USA
165.134.*               St. Louis MO, USA
165.220.*               Manila, Philippines
165.254.*               Nyack NY, USA
166.82.*                Raleigh NC, USA
166.109.165.*           Elizabeth NJ, USA
167.142.*               Des Moines IA, USA
168.21.*                Atlanta GA, USA
168.28.*                Atlanta GA, USA
168.100.*               White Plains NY, USA
168.143.*               Potomac MD, USA
169.207.*		Milwaukee WI, USA
169.226.*		Albany NY, USA
192.7.0.*               New York City NY, USA
192.12.72.*		London, England
192.16.188.*            Amsterdam, Netherlands
192.26.233.*            Newark DE, USA
192.31.126.*            Delft, Netherlands
192.33.149.*            Mines de Paris, France
192.34.239.*            Walla Walla WA, USA
192.35.149.*            Berlin, Germany
192.35.150.*            Berlin, Germany
192.35.153.*            Berlin, Germany
192.35.242.*            Vienna, Austria
192.36.35.*             Stockholm, Sweden
192.36.125.*            Ume}, Sweden
192.41.*                Chicago IL, USA
192.42.143.*            Tuebingen, Germany
192.43.199.*            Commerce TX, USA
192.44.32.*             Darmstadt, Germany
192.44.*                Nancy, France
192.48.211.*            Seattle WA, USA
192.54.41.*             Heidelberg, Germany
192.54.165.*            Mines de Paris, France
192.54.242.*		Waterloo Ont., Canada
192.55.105.*            Den Haad, Netherlands
192.55.188.*            Heidelberg, Germany
192.55.234.*            Youngstown OH, USA
192.58.127.*            New York City NY, USA
192.58.194.*		Ottawa Ont., Canada
192.58.242.*            N. Andover MA, USA
192.60.160.*            Dundee, Scotland
192.65.245.*            Fredericksburg VA, USA
192.67.206.*            Darmstadt, Germany
192.67.238.*            Princetown NJ, USA
192.67.249.*            Athens, Greece
192.68.221.*            Lisbon, Portugal
192.68.223.*            Delaware OH, USA
192.70.173.*            Menlo Park CA, USA
192.70.202.*            Durango CO, USA
192.73.64.*             Purchase NY, USA
192.73.65.*             Ypsilanti MI, USA
192.74.137.*            Framingham MA, USA
192.75.25.*             St. Johns NF, Canada
192.76.159.*            Berlin, Germany
192.76.241.*            Karlsruhe, Germany
192.80.63.*             Great Falls MT, USA
192.82.120.*            Salem OR, USA
192.82.157.*		Leoben, Austria
192.83.250.*            San Antonio TX, USA
192.84.11.*             Des Moines IA, USA
192.84.15.*             Coimbra, Portugal
192.84.84.*             Manchester, England
192.84.90.*             Ljubljana, Slovenia
192.87.46.*             Nijmegen, Netherlands
192.87.79.*             Nijmegen, Netherlands
192.88.242.*            Traverse City MI, USA
192.92.115.*            Huntsville TX, USA
192.98.22.*             Vaasa, Finland
192.98.43.*             Helsinki, Finland
192.98.49.*             Tallinn, Estonia
192.100.21.*            Washington DC, USA
192.100.55.*            Long Island NY, USA
192.100.76.*            Richmond VA, USA
192.100.81.*            San Jose CA, USA
192.101.124.*           Rota, Spain
192.101.250.*           Alma MI, USA
192.102.5.*             Vancouver WA, USA
192.102.223.*           Natchitoches LA, USA
192.103.41.*            Sioux Falls SD, USA
192.104.1.*             Topeka KS, USA
192.104.54.*            Washington DC, USA
192.105.10.*            Auckland, New Zealand
192.107.45.2            Lawrenceville NJ, USA
192.107.*               San Juan, Puerto Rico
192.108.153.*           Prague, Czech Republic
192.108.154.*           Prague, Czech Republic
192.108.159.*           Prague, Czech Republic
192.108.160.*           Prague, Czech Republic
192.108.254.*           Portland OR, USA
192.109.39.*            Berlin, Germany
192.109.221.*           Dortmund, Germany
192.109.234.*           Frankfurt, Germany
192.111.36.*            River Forest IL, USA
192.111.47.*            Castrop-Rauxel, Germany
192.112.26.*            Monticello AR, USA
192.112.102.*           Juniata PA, USA
192.121.211.*           Sundsvall, Sweden
192.122.209.*           Santa Cruz CA, USA
192.124.26.*            Tuebingen, Germany
192.124.153.*           Smithfield RI, USA
192.124.156.*           Bergen, Norway
192.129.16.*            Emden, Germany
192.131.123.*           Lexington KY, USA
192.132.29.*            Hudson OH, USA
192.138.123.*           Flint MI, USA
192.146.156.*           Kamloops BC, Canada
192.147.6.*             Houston TX, USA
192.147.37.*            Lublin, Poland
192.147.113.*           East Stroudsburg PA, USA
192.147.147.*           Cleveland OH, USA
192.147.249.*           San Diego CA, USA
192.148.218.*           East Stroudsburg PA, USA
192.149.109.*           <unknown> VT, USA
192.149.203.*           Clarion PA, USA
192.150.93.*            Brownsville TX, USA
192.150.147.*           Tulsa OK, USA
192.153.12.*            Lond. Tooting, England
192.153.163.*           Flint MI, USA
192.154.60.*            Hickory NC, USA
192.156.214.*           Riverside CA, USA
192.156.215.*           Billings MT, USA
192.160.13.*            San Francisco CA, USA
192.160.47.*            Butte MT, USA
192.160.94.*            Roanoke VA, USA
192.160.127.*           Chicago IL, USA
192.160.243.*           Fairfield CT, USA
192.165.122.*           Link|ping, Sweden
192.169.33.*            Singapore, Singapore
192.173.128.*           Brockton, England
192.187.159.*           Union City CA, USA
192.188.69.*            London, England
192.188.72.*            San Diego CA, USA
192.188.107.*           Melbourne, Australia
192.188.243.*		Godollo, Hungary
192.188.245.*		Godollo, Hungary
192.189.51.*            Vienna, Austria
192.189.54.*            Adelaide, Australia
192.189.180.*           Madison WI, USA
192.190.173.*           Budapest, Hungary
192.195.225.*           Evansville IN, USA
192.197.121.*           Quebec, Canada
192.203.127.*           Montgomery AL, USA
192.203.130.*           Binghampton NY, USA
192.203.196.*           Decorah IA, USA
192.203.213.*           Adelaide, Australia
192.203.*               Rock Hall SC, USA
192.206.29.*            Lancaster PA, USA
192.206.115.34          Riverton WY, USA
192.208.135.*           Starkville MS, USA
192.208.138.*           Starkville MS, USA
192.208.140.*           Starkville MS, USA
192.215.30.*            Westminster CA, USA
192.217.61.*            Lebanon IL, USA
192.220.208.*           Nome AK, USA
192.220.220.*           Tacoma WA, USA
192.231.171.*           Columbus MS, USA
192.231.221.*           Pittsburgh PA, USA
192.233.*               Bar Harbor ME, USA
192.235.19.*            Schenectady NY, USA
192.246.157.*           Liverpool NY, USA
192.251.2.*             Houston TX, USA
193.2.*                 Ljubljana, Slovenia
193.4.230.*             Reykjavik, Iceland
193.6.4.*		Miskolc, Hungary
193.6.32.*              Veszprem, Hungary
193.6.183.*             Veszprem, Hungary
193.10.106.*            Sundsvall, Sweden
193.10.118.*            Sundsvall, Sweden
193.23.*                Frankfurt, Germany
193.40.*                Tartu, Estonia
193.44.*                Stockholm, Sweden
193.60.48.*             Lond. Grenwch., England
193.60.63.*             Lond. Grenwch., England
193.60.160.*            Dundee, Scotland
193.60.*                Lond. Grenwch., England
193.64.*                Helsinki, Finland
193.78.*                Rotterdam, Netherlands
193.78.*                Amsterdam, Netherlands
193.96.24.*             Berlin, Germany
193.100.14.*            Dortmund, Germany
193.100.176.*           Witten, Germany
193.127.21.*            Madrid, Spain
193.128.224.*           London, England
193.130.*               Birmingham, England
193.136.*               Lisbon, Portugal
193.140.192.*           Istanbul, Turkey
193.170.75.*            ** Hacker site
193.170.38.*            Hagenberg, Austria
193.170.67.*            Linz, Austria
193.170.204.*		Hollabrunn, Austria
193.171.114.*		Salzburg, Austria
193.171.142.*		Salzburg, Austria
193.212.232.*           Oslo, Norway
193.243.244.*		London, England
194.46.25.*             County Cork, Eire
194.47.132.*            Ronneby, Sweden
194.52.*                Vetlanda, Sweden
194.109.*               Amsterdam, Netherlands
194.126.*               London, England
194.151.*               Lelystad, Netherlands
194.154.*               London, England
194.159.240.*		London, England
194.205.242.*           Birmingham, England
194.222.118.*		Cardenden, Scotland
194.247.40.*            Shetland, Scotland
195.34.136.*		Vienna, Austria
195.34.147.*            Vienna, Austria
195.40.204.*            Birmingham, England
195.40.207.*            Birmingham, England
195.54.128.*            Gotenburg, Sweden
195.70.*		Salzburg, Austria
195.96.1.*              Vienna, Austria
195.113.114.*           HK, Czech Republic
195.212.47.*            Vienna, Austria
195.222.202.*           Hamburg, Germany
198.3.127.*             Queens NY, USA
198.3.128.*             Washington DC, USA
198.4.75.*		Levittown NY, USA
198.6.68.*              Chicago IL, USA
198.6.245.*             Dayton OH, USA
198.7.0.*               New York City NY, USA
198.22.*                Hays KS, USA
198.30.154.*            Columbus OH, USA
198.30.*                Cincinnati OH, USA
198.49.174.*            Chicago IL, USA
198.70.51.*		Rochester NY, USA
198.51.190.*            Seattle WA, USA
198.60.143.*            Phoenix AZ, USA
198.62.*                Angola IN, USA
198.64.53.*             Houston TX, USA
198.67.*                New York City NY, USA
198.69.10.*             Lebanon CT, USA
198.77.4.*              Clarksburg WV, USA
198.78.56.*             Starkville MS, USA
198.80.0.*              Chicago IL, USA
198.80.1.*              Chicago IL, USA
198.80.2.35             'Cybergate' FL, USA
198.80.20.*             New York City NY, USA
198.80.48.*             Charlotte NC, USA
198.81.225.*            Charleston SC, USA
198.93.80.*             Davis CA, USA
198.102.66.*            New York City NY, USA
198.109.*               Pleasantville NY, USA
198.109.38.*            Ann Arbor MI, USA
198.110.8.*             Ann Arbor MI, USA
198.110.*               Holland MI, USA
198.115.180.*           Beverly MA, USA
198.133.36.*		Toronto Ont., Canada
198.137.*               Seattle WA, USA
198.145.*               Seattle WA, USA
198.146.*               Clarksville TN, USA
198.168.102.*           Montreal QC, Canada
198.174.169.*           Minneapolis MN, USA
198.175.8.*             Kansas City MO, USA
198.180.3.*             Charlette NC, USA
198.190.226.*           Gibsonia PA, USA
198.207.193.*           Williston Park NY, USA
198.213.1.*             San Antonio TX, USA
198.243.14.*            Thornton CO, USA
199.1.22.*              Rochester NY, USA
199.2.48.*              Kent WA, USA
199.3.12.1              Nashville TN, USA
199.3.12.6              Nashville TN, USA
199.3.12.*              Bay City MI, USA
199.3.65.*              Indianapolis IN, USA
199.34.50.*             Greenbelt MD, USA
199.35.216.*		New York City NY, USA
199.45.83.*             Halifax NS, Canada
199.79.146.*            Parkville MO, USA
199.93.64.*             Bridgewater MA, USA
199.171.196.*           Toms River NJ, USA
199.181.141.*           Albany NY, USA
199.183.41.*		New York City NY, USA
199.183.44.*		White Plains NY, USA
199.183.206.*		Garden City NY, USA
199.184.165.*		New York City NY, USA
199.201.240.*           Honolulu HI, USA
199.219.0.*		Potsdam NY, USA
199.240.*               Manhattan KS, USA
200.7.0.*               Santa Maria RS, USA
202.6.100.*             Bangkok, Thailand
203.12.237.*            Melbourne, Australia
203.14.212.*            Bendigo, Australia
203.18.28.*		Orange NSW, Australia
203.19.4.*              Bendigo, Australia
203.27.110.*            Bendigo, Australia
203.32.191.*            Sydney, Australia
203.61.105.*            Bathurst, Australia
204.27.97.*             Hammond LA, USA
204.77.97.*             Ulysses KS, USA
204.85.193.*            Durham NC, USA
204.97.135.*            Gainsville FL, USA
204.97.168.*		Albany NY, USA
204.101.175.*		Sudbury Ont., Canada
204.117.211.*           Huntington NY, USA
204.119.24.*		Fairbanks AK, USA
204.122.16.*            Seattle WA, USA
204.122.25.*		Seattle WA, USA
204.148.124.*		Murray KY, USA
204.157.220.*		Seattle WA, USA
204.171.127.*		Gibsonia PA, USA
204.214.98.*            Ashland OR, USA
204.215.2.*             Miami Beach FL, USA
204.248.*               Springfield MO, USA
205.133.95.*            Lima OH, USA
205.133.145.*           S. Charleston WV, USA
205.136.250.*           Nyack NY, USA
205.139.170.*		Kokomo IN, USA
205.152.*               Forest City NC, USA
205.152.121.*		Shelby NC, USA
205.153.153.*           Seattle WA, USA
205.160.16.*            Atlanta GA, USA
205.164.*               Salt Lake City UT, USA
205.164.220.*		Freehold NJ, USA
205.164.3.*             Wheeling IL, USA
205.166.61.*		Harrisburg PA, USA
205.167.92.*		Long Island NY, USA
205.184.144.*           Greenville SC, USA
205.160.208.*           Iowa City IA, USA
205.217.137.*           Sioux City IA, USA
205.219.156.*		Lexington KY, USA
205.231.120.*           Newton NJ, USA
205.232.174.*		Rochester NY, USA
205.232.178.*           Astoria NY, USA
206.26.132.*		Staten Island NY, USA
206.26.198.*		Starkville MS, USA
206.27.222.*            Murray Ky, USA
206.102.132.*		Peoria IL, USA
206.117.27.*		Hacienda Hts. CA, USA
206.117.211.*		Hacienda Hts. CA, USA
206.127.*		New York City NY, USA
206.129.98.*		Seattle WA, USA
206.129.11.*		Fairbanks AK, USA
206.152.182.*		Albany NY, USA
206.153.96.*            Cobleskill NY, USA
206.154.220.*		Carmel IN, USA
206.173.*               Durham NC, USA
206.181.98.*            White Plains NY, USA
206.185.7.*		Peoria IL, USA
206.214.143.*		Garden City NY, USA
206.217.124.*		Ronkonkoma NY, USA
206.228.*		Cliffside NC, USA
206.230.70.*            Lima OH, USA
206.230.247.*		Peoria Il, USA
206.232.7.*		Raleigh NC, USA
206.245.158.*           Halifax NS, Canada
206.253.160.*		Hacienda Hts. CA, USA
207.50.*		Rochester NY, USA
207.93.47.*		Poughkeepsie NY, USA
207.94.*                Ronkonkoma NY, USA
207.101.8.*		Gonzales LA, USA
207.156.*		Huntington NY, USA
207.161.113.*		Winnipeg Man., Canada
207.176.9.*             Glendale NY, USA
207.180.218.*		Cleveland OH, USA
207.198.205.*		Newburgh NY, USA
207.206.18.*		Cleveland OH, USA
208.1.140.*             Erie PA, USA
208.9.96.*              Raleigh NC, USA
208.9.220.*		Bellmore NY, USA
208.133.141.*		Albany NY, USA
208.138.204.*		Erie PA, USA
208.155.*               Murray KY, USA
208.194.*               Raleigh NC, USA
208.201.*               Soperton GA, USA
208.209.5.*             Elkhart IN, USA
208.234.156.*		Elkhart IN, USA
208.236.38.*            Saxonburg PA, USA
208.235.88.*            Lexington KY, USA
208.246.88.*            Richmond VA, USA
209.14.134.*		New York City NY, USA
209.48.183.*            Washington NC, USA
209.71.50.*             Upper Pottsgrove PA, USA
209.156.91.*            Long Island NY, USA
209.193.7.*             Fairbanks AK, USA
212.238.35.*            Rotterdam, Netherlands
